,Player,Min,PTS,LBR,Stl,TO,STPS,PPA,PP,VIO,GTID,WIN,DFO_mk,DFO_att,DFO_pct,OFO_mk,OFO_att,OFO_pct,FG_mk,FG_att,FG_pct,2PT_mk,2PT_att,2PT_pct,3PT_mk,3PT_att,3PT_pct,4PT_mk,4PT_att,4PT_pct,RA_mk,RA_att,RA_pct,Layup_mk,Layup_att,Layup_pct,Slam_mk,Slam_att,Slam_pct,Team,Pos,AST,HITS,PPFG
53,#3 Cameron Hollins,0.0,0.0,0.0,0,0.0,0.0,0,0,0,104,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
54,#77 Justin Holloway,11.0,-2.9884527601156163,-0.14794573521653548,0,0.9254369730135474,-0.10627740817467618,8,0,1,0,1,0,0,0.0,0,0,0.0,2,4,0.5,0,0,0.0,0,0,0.0,0,0,0.0,2,4,0.5,1,3,0.3333333333333333,1,1,1.0,Mob,G,-0.9470287612784238,-1.0086435138417522,-0.3814465264625624
55,#77 Justin Holloway,8.0,0.19021617446137018,-1.2894150801574802,0,-0.5087731105356017,-0.07729266049067358,0,2,1,5,1,0,0,0.0,0,0,0.0,2,3,0.6666666666666666,0,1,0.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0.0,2,2,1.0,Mob,G,-0.6887481900206719,-0.733558919157638,5.722584344390864
56,#77 Justin Holloway,7.368421052631579,-5.351116681417159,-0.10867178435557401,0,-0.3896594439143701,-0.07119060834667304,2,4,3,21,1,0,1,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0.0,Mob,G,2.365626667086223,1.3243536270916492,-9.466040735429468
57,#77 Justin Holloway,9.638554216867469,-4.999739548841722,-2.758331421876482,0,0.18220107164385352,-0.09312368733816094,0,0,1,23,1,0,1,0.0,0,0,0.0,1,2,0.5,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,1.170182903589552,1.1161940733040505,-2.743874283866429
58,#77 Justin Holloway,8.791208791208792,-3.3843778302622307,-0.5158407474258027,0,1.3420075708399983,-0.08493698955019076,4,0,1,26,1,0,1,0.0,0,0,0.0,1,5,0.2,0,2,0.0,1,1,1.0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,Mob,G,1.2431338571201407,-0.8061087023710309,-6.019138083086964
59,#77 Justin Holloway,11.428571428571427,-5.299691179340899,-0.27059297165354296,1,-0.15539015790800223,-0.11041808641524796,0,2,2,28,1,0,1,0.0,1,2,0.5,1,6,0.16666666666666666,0,2,0.0,0,1,0.0,0,0,0.0,1,3,0.3333333333333333,0,1,0.0,1,2,0.5,Mob,G,4.016074014256183,2.95205868691766,-8.967736650870194
60,#77 Justin Holloway,9.35064935064935,-4.790656419460736,-0.6759397040801715,1,3.236498961711634,-0.09034207070338471,0,0,0,43,1,0,0,0.0,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,2.194969648027786,0.14259347111444912,6.688734947989321
61,#77 Justin Holloway,9.863013698630137,1.8372528178290863,4.177433462819544,0,-0.8601312321671802,-0.09529232115288525,0,0,0,47,1,0,0,0.0,0,0,0.0,4,6,0.6666666666666666,2,3,0.6666666666666666,0,0,0.0,0,0,0.0,2,3,0.6666666666666666,1,1,1.0,1,2,0.5,Mob,G,2.1508583958649248,1.0956122914494875,2.1237341232216127
62,#77 Justin Holloway,8.10126582278481,-5.883325392950511,0.6816049821190073,1,0.4721284956601501,-0.07827104859815047,0,0,0,49,1,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,1,0.0,0,1,0.0,Mob,G,-0.697466521539921,-0.7428444750963423,-10.40750952466748
